,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
214,Yaris,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,30000
216,Elantra,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,59500
217,Camry,Toyota,Automatic,Saudi,Full,2020,2.4,2000,119000
219,Azera,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,56500
222,CS35,Changan,Automatic,Saudi,Full,2021,1.6,5000,44000
223,Optima,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,38500
225,Edge,Ford,Automatic,Saudi,Standard,2013,3.6,240000,35000
226,LS,Lexus,Automatic,Saudi,Full,2015,4.6,132000,165000
227,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,300000,48000
228,Hilux,Toyota,Manual,Saudi,Full,2018,2.7,122000,65000
229,The 3,BMW,Automatic,Saudi,Semi Full,2013,2.0,156000,45000
230,Expedition,Ford,Automatic,Saudi,Standard,2014,5.4,143000,60000
234,Elantra,Hyundai,Automatic,Other,Standard,2015,2.0,300,25000
236,Sonata,Hyundai,Automatic,Saudi,Standard,2020,2.4,100,72910
237,Land Cruiser,Toyota,Automatic,Saudi,Full,2010,4.6,344000,88000
238,Sedona,Kia,Automatic,Other,Semi Full,2016,3.2,118000,65000
240,Victoria,Ford,Automatic,Saudi,Standard,2011,4.6,176000,50000
241,Prestige,Genesis,Automatic,Saudi,Semi Full,2016,3.5,293000,77000
243,Corolla,Toyota,Automatic,Saudi,Full,2003,1.0,50000,15000
244,CX9,Mazda,Automatic,Saudi,Full,2014,3.7,388000,37000
245,Tahoe,Chevrolet,Automatic,Other,Semi Full,2008,5.3,300000,35000
247,Grand Cherokee,Jeep,Automatic,Saudi,Full,2013,5.7,77000,77000
249,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,127000,33000
257,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,81967,35500
258,Land Cruiser,Toyota,Manual,Gulf Arabic,Full,2013,1.0,378000,75000
259,ES,Lexus,Automatic,Saudi,Full,2013,1.6,263000,66000
260,Hilux,Toyota,Manual,Saudi,Full,2016,2.7,174172,65000
261,Hilux,Toyota,Manual,Saudi,Semi Full,2017,2.7,106737,75000
263,Safrane,Renault,Automatic,Saudi,Full,2012,2.6,144000,20000
264,Cores,Kia,Manual,Saudi,Standard,2005,4.0,400,10000
267,Cadenza,Kia,Automatic,Gulf Arabic,Semi Full,2018,3.3,81000,70000
269,D'max,Others,Manual,Other,Full,2001,1.0,1000,7000
270,Silverado,Chevrolet,Automatic,Saudi,Standard,2018,5.3,127000,85000
271,Taurus,Ford,Automatic,Saudi,Standard,2017,3.5,128439,76500
272,Sonata,Hyundai,Automatic,Saudi,Standard,2018,2.4,69000,55000
273,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
274,Land Cruiser Pickup,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,95000
276,Charger,Dodge,Automatic,Unknown,Full,2020,3.6,9120,115000
277,Rio,Kia,Automatic,Other,Standard,2017,1.4,147000,26000
278,Maxima,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
279,X-Trail,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,69500
280,Cruze,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,15000
282,Taurus,Ford,Automatic,Saudi,Standard,2019,2.0,54000,80000
285,Taurus,Ford,Automatic,Saudi,Semi Full,2012,3.5,327000,35000
288,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,28500
291,ES,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
292,Elantra,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
293,Land Cruiser,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,50000
296,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
298,FJ,Toyota,Automatic,Saudi,Standard,2016,4.0,130,100000
299,Seven,Changan,Automatic,Saudi,Standard,2020,1.5,55531,27500
300,Expedition,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
